Literature,Specimen ID,Country,Specimen Type,Specimen Age (days),Rebar Present,UPV Device Brand & Model,Transducer Diameter (mm),Transducer Frequency (kHz),Standard,Test Type,No. Tests,"Average Velocity, Vp (m/s)",Compression Specimen,Height (mm),Width/Diameter (mm),Max Aggregate Size (mm),W/C Ratio,Strength Class,"Design Strength, fck (MPa)","fc,core (MPa)","fc,ref (MPa)","fc,cyl (MPa)",Notes,
Cianfrone & Facaoaru (1979),C1_25a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4440,Cube,150.0,150.0,30,,,,16.08,16.08,13.35,,
Cianfrone & Facaoaru (1979),C2_25b,Italy,Cube - Laboratory,2,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4820,Cube,150.0,150.0,30,,,,27.95,27.95,23.20,,
Cianfrone & Facaoaru (1979),C3_25c,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5130,Cube,150.0,150.0,30,,,,38.64,38.64,32.07,,
Cianfrone & Facaoaru (1979),C4_25d,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,Cube,150.0,150.0,30,,,,47.86,47.86,39.72,,
Cianfrone & Facaoaru (1979),C5_123,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,Cube,150.0,150.0,30,,,,56.19,56.19,46.64,,
Cianfrone & Facaoaru (1979),C6_1a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4880,Cube,150.0,150.0,30,,,,52.47,52.47,43.55,,
Cianfrone & Facaoaru (1979),C7_1b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5130,Cube,150.0,150.0,30,,,,65.90,65.90,54.80,,
Cianfrone & Facaoaru (1979),C8_79,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5190,Cube,150.0,150.0,30,,,,69.33,69.33,58.23,,
Cianfrone & Facaoaru (1979),C9_124,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,Cube,150.0,150.0,30,,,,65.41,65.41,54.31,,
Cianfrone & Facaoaru (1979),C10_58,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4910,Cube,150.0,150.0,30,,,,45.31,45.31,37.60,,
Cianfrone & Facaoaru (1979),C11_126,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5210,Cube,150.0,150.0,30,,,,71.49,71.49,60.39,,
Cianfrone & Facaoaru (1979),C12_121,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5180,Cube,150.0,150.0,30,,,,69.33,69.33,58.23,,
Cianfrone & Facaoaru (1979),C13_103,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5120,Cube,150.0,150.0,30,,,,76.30,76.30,65.20,,
Cianfrone & Facaoaru (1979),C14_61,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5140,Cube,150.0,150.0,30,,,,64.92,64.92,53.88,,
Cianfrone & Facaoaru (1979),C15_27a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,Cube,150.0,150.0,30,,,,52.27,52.27,43.38,,
Cianfrone & Facaoaru (1979),C16_27b,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,Cube,150.0,150.0,30,,,,61.88,61.88,51.36,,
